county_name,percent_for_clinton,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,color,region,bush_perc,clinton_perc,clinton_win
Autauga,30.92,31.7,57623,15768,15.2,10.74,51.41,60.4,2.36,457,AL,Bush,Southeast,55.92,30.92,FALSE
Baldwin,26.24,35.5,84935,16954,13.6,9.73,51.34,66.5,5.4,282,AL,Bush,Southeast,56.52,26.24,FALSE
Barbour,46.36,32.8,83656,15532,25,8.82,53.03,28.8,7.02,47,AL,Bush,Southeast,42.9,46.36,TRUE
Blount,32.92,34.5,61249,14820,15,9.67,51.15,62.4,2.36,185,AL,Bush,Southeast,53.81,32.92,FALSE
Bullock,67.67,31.7,75725,11120,33,7.08,50.76,17.6,2.91,141,AL,Bush,Southeast,26.02,67.67,TRUE
Butler,47.43,33.5,75887,12015,27.1,9.48,53.25,28.1,7.98,266,AL,Bush,Southeast,41.21,47.43,TRUE
Calhoun,38.44,32.7,76073,15162,18,11.95,51.66,190.8,4.81,560,AL,Bush,Southeast,48.18,38.44,FALSE
Chambers,45.36,34.8,40498,13887,18.8,10.52,52.77,62.1,6.15,218,AL,Bush,Southeast,43.4,45.36,TRUE
Cherokee,53.61,36.3,56386,13936,15.4,9.29,50.82,35.8,5.61,51,AL,Bush,Southeast,34.85,53.61,TRUE
Chilton,34.19,34,52230,14036,18.6,9.48,51.41,47.8,3.58,296,AL,Bush,Southeast,56.17,34.19,FALSE
Choctaw,52.13,32.9,81367,13423,25,9.94,52.54,17.6,4.16,29,AL,Bush,Southeast,40.6,52.13,TRUE
Clarke,42.87,31.7,87444,13750,24.4,8.79,52.18,22.4,5.07,105,AL,Bush,Southeast,46.9,42.87,FALSE
Cleburne,40.94,34.1,63458,14168,15.6,8.58,50.71,23.2,5,203,AL,Bush,Southeast,46.31,40.94,FALSE
Coffee,37.19,34.1,79268,17318,14.9,10.4,50.99,60.5,5.72,357,AL,Bush,Southeast,48.87,37.19,FALSE
Colbert,54.4,35.7,71629,15705,15.3,11.87,51.97,88,5.43,330,AL,Bush,Southeast,35.98,54.4,TRUE
Conecuh,50.02,34.5,49065,12876,27.4,8.9,52.67,16.6,3.62,171,AL,Bush,Southeast,39.05,50.02,TRUE
Covington,35.84,36.2,104307,13921,21.6,11.67,52.74,35.7,4.82,239,AL,Bush,Southeast,48.99,35.84,FALSE
Crenshaw,45.44,35.9,77907,13247,22.8,8.99,52.61,22.1,10.07,165,AL,Bush,Southeast,44.22,45.44,TRUE
Cullman,35.98,34.8,67879,15261,15.4,10.07,51.4,94.4,6.43,247,AL,Bush,Southeast,49.62,35.98,FALSE
Dale,32.29,29.1,43261,14569,17.2,10.15,49.65,88.9,4.71,201,AL,Bush,Southeast,51.45,32.29,FALSE
Dallas,56.38,31.1,68101,13574,34.2,10.31,54.38,48.9,5.48,794,AL,Bush,Southeast,37.72,56.38,TRUE
Elmore,30.52,32.9,55540,14789,15.9,10.45,49.22,84.3,5.29,357,AL,Bush,Southeast,55.7,30.52,FALSE
Escambia,37.5,33.9,90379,13184,24.4,11.08,50.63,38,2.72,161,AL,Bush,Southeast,46.44,37.5,FALSE
Etowah,48.43,36,69920,15324,17.9,12.35,52.6,186.8,9.34,616,AL,Bush,Southeast,41.15,48.43,TRUE
Fayette,45.22,35.6,83058,13404,18.6,9.34,52.22,28.8,11.16,113,AL,Bush,Southeast,42.55,45.22,TRUE
Franklin,50.2,35.8,107673,14777,18.1,8.84,52.18,44.7,7.39,99,AL,Bush,Southeast,40.43,50.2,TRUE
Geneva,36.71,36.4,89634,15339,19.4,10.52,51.8,41.8,3.49,142,AL,Bush,Southeast,49.08,36.71,FALSE
Greene,79.18,31.3,27496,11165,38.8,6.01,54.17,15.8,5.1,416,AL,Bush,Southeast,16.49,79.18,TRUE
Hale,57.8,31.8,65003,11509,31.4,6.96,53.35,24.7,9.94,122,AL,Bush,Southeast,33.22,57.8,TRUE
Henry,43.15,35.4,99412,14658,19.1,9.33,52.73,27.8,5.06,183,AL,Bush,Southeast,45.7,43.15,FALSE
Houston,29.76,33.1,107388,17412,18,9.94,52.5,143.5,2.59,587,AL,Bush,Southeast,58.33,29.76,FALSE
Jackson,56.19,34.6,65230,15484,16.1,11.11,51.68,45.3,2.97,250,AL,Bush,Southeast,30.19,56.19,TRUE
Jefferson,42.12,34.1,131030,19892,18.6,12.71,53.24,589.7,5.3,740,AL,Bush,Southeast,50.13,42.12,FALSE
